age,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,ai_usage_hours,ai_study_ratio,score_gap,performance_encoded,ai_tools_used_ChatGPT,ai_tools_used_Claude,ai_tools_used_Copilot,ai_tools_used_Gemini,ai_usage_purpose_Coding,ai_usage_purpose_Doubt Solving,ai_usage_purpose_Exam Prep,ai_usage_purpose_Homework,ai_usage_purpose_Notes,grade_level,performance_category
20,2.5,1,170,10,29,56,5,29,40.9,98.8,4,9.0,8.1,7.2,1.5,4.6,6,36.8,1.0,2.8333333333333335,1.1333333333333333,7.799999999999997,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
17,3.4,1,123,4,14,65,1,60,87.2,89.3,8,8.5,13.8,7.6,5.1,2.7,6,65.5,1.0,2.05,0.6029411764705882,5.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
24,0.8,0,35,8,82,8,5,98,77.1,50.8,7,2.1,39.1,5.7,0.2,4.0,3,66.3,1.0,0.5833333333333334,0.7291666666666666,-31.700000000000003,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1
21,4.4,0,45,3,74,106,10,67,86.4,52.1,5,6.7,25.2,8.2,4.2,2.9,2,69.5,1.0,0.75,0.17045454545454544,2.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
18,3.5,1,21,2,83,7,10,40,69.4,40.7,5,5.4,2.7,8.7,0.2,2.9,2,49.7,1.0,0.35,0.09999999999999999,9.700000000000003,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0
20,5.1,1,34,10,24,95,6,43,98.9,88.1,9,8.0,13.4,5.5,3.7,2.1,4,77.9,1.0,0.5666666666666667,0.11111111111111112,34.900000000000006,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2
23,2.0,1,112,8,37,57,5,93,71.5,50.2,9,9.6,3.7,5.8,1.6,3.4,5,82.2,1.0,1.8666666666666667,0.9333333333333333,-10.799999999999997,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
16,5.5,0,174,4,42,70,6,42,57.7,97.1,6,4.3,13.2,6.0,0.4,2.5,6,52.7,1.0,2.9,0.5272727272727272,10.700000000000003,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1
20,6.0,1,32,9,29,37,9,99,97.7,67.1,9,7.8,18.8,5.4,1.6,4.2,4,81.7,1.0,0.5333333333333333,0.08888888888888889,-17.299999999999997,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
24,5.6,0,140,3,39,19,7,88,35.2,42.7,7,2.9,38.5,7.2,0.7,4.6,1,66.7,1.0,2.3333333333333335,0.41666666666666674,-21.299999999999997,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
24,4.8,1,55,9,58,46,5,52,66.0,78.6,6,4.8,23.9,8.5,1.3,2.5,8,54.3,1.0,0.9166666666666666,0.1909722222222222,2.299999999999997,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
21,5.0,0,66,10,22,78,10,55,74.2,46.6,2,7.5,21.8,6.1,4.1,1.3,4,50.7,1.0,1.1,0.22000000000000003,-4.299999999999997,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
18,3.7,1,12,6,43,102,9,44,54.2,79.4,3,1.8,-14.2,4.9,5.0,2.2,10,44.5,1.0,0.2,0.05405405405405406,0.5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0
17,1.5,1,49,5,80,27,5,77,36.4,80.9,9,8.8,-0.8,5.0,2.6,3.5,3,62.0,1.0,0.8166666666666667,0.5444444444444444,-15.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1
21,4.2,1,27,2,0,94,5,85,58.7,43.0,1,9.3,-3.2,7.6,2.5,2.5,8,56.7,1.0,0.45,0.10714285714285714,-28.299999999999997,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1
21,4.4,0,103,6,77,59,6,50,86.7,92.7,7,8.8,-14.0,7.7,2.8,2.0,8,66.2,1.0,1.7166666666666666,0.3901515151515151,16.200000000000003,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1
16,5.9,1,97,4,81,21,8,63,70.0,63.2,1,1.0,32.3,6.4,2.8,0.1,8,48.0,1.0,1.6166666666666667,0.2740112994350282,-15.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0
19,3.5,1,95,5,40,103,1,82,83.1,59.3,10,8.2,28.8,7.8,1.4,0.9,3,90.6,1.0,1.5833333333333333,0.4523809523809524,8.599999999999994,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2
18,2.0,0,86,6,61,112,9,64,80.2,79.4,7,9.1,27.4,6.6,5.9,4.2,7,64.9,1.0,1.4333333333333333,0.7166666666666667,0.9000000000000057,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
